ID_CLIENT;AGE;BUDGET_MAX;MOTO_ACTUELLE;STYLE_DESIRE;DOULEUR_CLIENT;MOTS_CLES_IA
C-00001;28;7 200 €;Honda CB500F;Cyber-Punk 90s;Les motos neuves manquent d'âme.;DESIR_90S
C-00002;37;7 400 €;Honda CB500F;Néo-Rétro 90s;Les motos neuves manquent d'âme.;REJET_MANGA
C-00003;51;8 500 €;BMW NineT;Replica Bol d'Or;Trop de plastique, pas assez de carénage.;FIABILITE_MODERNE
C-00004;21;11 000 €;Yamaha MT-07;Café Racer Sportif;Les motos neuves manquent d'âme.;BUDGET_SERRE
C-00005;22;10 800 €;Honda Hornet;Scrambler 80s;Interdit de rouler en ville avec ma vieille moto (ZFE).;LOOK_CARRE
C-00006;21;6 800 €;Yamaha MT-07;Scrambler 80s;Je veux le look d'avant mais la fiabilité de maintenant.;FIABILITE_MODERNE
C-00007;47;7 400 €;Kawasaki Z650;Scrambler 80s;Trop de plastique, pas assez de carénage.;FIABILITE_MODERNE
C-00008;41;9 900 €;Kawasaki Z650;Sportive Vintage;Les motos neuves manquent d'âme.;FIABILITE_MODERNE
C-00009;36;9 200 €;Kawasaki Z650;Néo-Rétro 90s;Je veux le look d'avant mais la fiabilité de maintenant.;FIABILITE_MODERNE
C-00010;38;6 600 €;BMW NineT;Néo-Rétro 90s;Je veux des couleurs flashy (Violet/Rose).;LOOK_CARRE
C-00011;51;10 800 €;Kawasaki Z650;Sportive Vintage;Je veux des couleurs flashy (Violet/Rose).;FIABILITE_MODERNE
C-00012;35;10 800 €;BMW NineT;Cyber-Punk 90s;Je veux le look d'avant mais la fiabilité de maintenant.;COULEUR_VINTAGE
C-00013;55;6 600 €;Honda Hornet;Replica Bol d'Or;Je déteste le phare avant insecte.;DESIR_90S
C-00014;31;8 500 €;Kawasaki Z900;Scrambler 80s;Les designs 'Manga' vieillissent mal.;REJET_MANGA
C-00015;34;9 700 €;Kawasaki Z650;Sportive Vintage;Trop de plastique, pas assez de carénage.;DESIR_90S
C-00016;45;6 100 €;Honda Hornet;Néo-Rétro 90s;Je veux des couleurs flashy (Violet/Rose).;LOOK_CARRE
C-00017;32;9 700 €;Yamaha MT-07;Néo-Rétro 90s;Trop de plastique, pas assez de carénage.;COULEUR_VINTAGE
C-00018;51;10 000 €;Suzuki SV 650;Néo-Rétro 90s;Je veux des couleurs flashy (Violet/Rose).;FIABILITE_MODERNE
C-00019;46;10 700 €;Kawasaki Z900;Néo-Rétro 90s;Les motos neuves manquent d'âme.;DESIR_90S
C-00020;34;7 100 €;Honda Hornet;Scrambler 80s;Interdit de rouler en ville avec ma vieille moto (ZFE).;DESIR_90S
C-00021;42;8 300 €;BMW NineT;Replica Bol d'Or;Trop de plastique, pas assez de carénage.;BUDGET_SERRE
C-00022;42;10 500 €;Yamaha XSR 700;Sportive Vintage;Je veux des couleurs flashy (Violet/Rose).;REJET_MANGA
C-00023;45;6 100 €;Suzuki SV 650;Cyber-Punk 90s;Trop de plastique, pas assez de carénage.;NOSTALGIE
C-00024;34;6 100 €;Kawasaki Z650;Café Racer Sportif;Je déteste le phare avant insecte.;FIABILITE_MODERNE
C-00025;40;7 500 €;Suzuki SV 650;Sportive Vintage;Interdit de rouler en ville avec ma vieille moto (ZFE).;BUDGET_SERRE
C-00026;30;9 500 €;Honda Hornet;Cyber-Punk 90s;Je veux le look d'avant mais la fiabilité de maintenant.;BUDGET_SERRE
C-00027;48;7 200 €;Honda Hornet;Café Racer Sportif;Je veux des couleurs flashy (Violet/Rose).;BUDGET_SERRE
C-00028;39;8 700 €;Honda CB500F;Néo-Rétro 90s;Interdit de rouler en ville avec ma vieille moto (ZFE).;COULEUR_VINTAGE
C-00029;41;10 900 €;Honda Hornet;Replica Bol d'Or;Je veux des couleurs flashy (Violet/Rose).;DESIR_90S
C-00030;26;7 500 €;Yamaha XSR 700;Néo-Rétro 90s;Trop de plastique, pas assez de carénage.;NOSTALGIE
C-00031;33;8 900 €;Suzuki SV 650;Sportive Vintage;Je veux des couleurs flashy (Violet/Rose).;COULEUR_VINTAGE
C-00032;51;8 500 €;BMW NineT;Sportive Vintage;Les designs 'Manga' vieillissent mal.;DESIR_90S
C-00033;22;8 000 €;Yamaha MT-07;Sportive Vintage;Je déteste le phare avant insecte.;LOOK_CARRE
C-00034;24;9 900 €;Suzuki SV 650;Sportive Vintage;Je déteste le phare avant insecte.;NOSTALGIE
C-00035;26;6 400 €;Honda CB500F;Néo-Rétro 90s;Je déteste le phare avant insecte.;FIABILITE_MODERNE
C-00036;48;6 100 €;Honda CB500F;Néo-Rétro 90s;Les designs 'Manga' vieillissent mal.;BUDGET_SERRE
C-00037;33;9 300 €;Suzuki SV 650;Scrambler 80s;Interdit de rouler en ville avec ma vieille moto (ZFE).;COULEUR_VINTAGE
C-00038;41;6 600 €;Kawasaki Z650;Néo-Rétro 90s;Je veux des couleurs flashy (Violet/Rose).;COULEUR_VINTAGE
C-00039;48;8 000 €;Yamaha XSR 700;Néo-Rétro 90s;Les motos neuves manquent d'âme.;FIABILITE_MODERNE
C-00040;53;10 100 €;Yamaha XSR 700;Sportive Vintage;Je veux des couleurs flashy (Violet/Rose).;REJET_MANGA
C-00041;38;10 400 €;BMW NineT;Néo-Rétro 90s;Trop de plastique, pas assez de carénage.;NOSTALGIE
C-00042;21;8 500 €;Suzuki SV 650;Sportive Vintage;Les motos neuves manquent d'âme.;COULEUR_VINTAGE
C-00043;42;6 500 €;Yamaha XSR 700;Sportive Vintage;Je veux des couleurs flashy (Violet/Rose).;REJET_MANGA
C-00044;41;9 100 €;Kawasaki Z650;Néo-Rétro 90s;Je veux des couleurs flashy (Violet/Rose).;REJET_MANGA
C-00045;27;6 600 €;Yamaha XSR 700;Scrambler 80s;Interdit de rouler en ville avec ma vieille moto (ZFE).;BUDGET_SERRE
C-00046;22;9 500 €;Honda CB500F;Néo-Rétro 90s;Interdit de rouler en ville avec ma vieille moto (ZFE).;DESIR_90S
C-00047;21;10 100 €;Kawasaki Z650;Sportive Vintage;Je veux des couleurs flashy (Violet/Rose).;REJET_MANGA
C-00048;23;9 200 €;Yamaha XSR 700;Néo-Rétro 90s;Les motos neuves manquent d'âme.;COULEUR_VINTAGE
C-00049;39;9 100 €;Yamaha XSR 700;Replica Bol d'Or;Je déteste le phare avant insecte.;BUDGET_SERRE
C-00050;48;6 700 €;Yamaha XSR 700;Sportive Vintage;Trop de plastique, pas assez de carénage.;NOSTALGIE
C-00051;36;7 100 €;Suzuki SV 650;Néo-Rétro 90s;Interdit de rouler en ville avec ma vieille moto (ZFE).;BUDGET_SERRE
C-00052;26;10 500 €;Honda CB500F;Sportive Vintage;Je déteste le phare avant insecte.;COULEUR_VINTAGE
C-00053;23;10 500 €;Kawasaki Z900;Replica Bol d'Or;Les designs 'Manga' vieillissent mal.;REJET_MANGA
C-00054;42;10 000 €;Honda Hornet;Replica Bol d'Or;Interdit de rouler en ville avec ma vieille moto (ZFE).;COULEUR_VINTAGE
C-00055;53;9 400 €;BMW NineT;Néo-Rétro 90s;Les motos neuves manquent d'âme.;COULEUR_VINTAGE
C-00056;29;7 800 €;BMW NineT;Cyber-Punk 90s;Les motos neuves manquent d'âme.;REJET_MANGA
C-00057;26;8 000 €;Yamaha MT-07;Néo-Rétro 90s;Les motos neuves manquent d'âme.;REJET_MANGA
C-00058;33;6 100 €;Kawasaki Z650;Sportive Vintage;Les designs 'Manga' vieillissent mal.;DESIR_90S
C-00059;27;6 100 €;Suzuki SV 650;Sportive Vintage;Je veux des couleurs flashy (Violet/Rose).;LOOK_CARRE
C-00060;35;10 900 €;Yamaha MT-07;Replica Bol d'Or;Les designs 'Manga' vieillissent mal.;REJET_MANGA
C-00061;48;7 300 €;Kawasaki Z900;Cyber-Punk 90s;Interdit de rouler en ville avec ma vieille moto (ZFE).;BUDGET_SERRE
C-00062;42;10 900 €;Suzuki SV 650;Café Racer Sportif;Je déteste le phare avant insecte.;REJET_MANGA
C-00063;39;6 900 €;Yamaha MT-07;Cyber-Punk 90s;Interdit de rouler en ville avec ma vieille moto (ZFE).;FIABILITE_MODERNE
C-00064;42;7 000 €;Yamaha MT-07;Néo-Rétro 90s;Je veux le look d'avant mais la fiabilité de maintenant.;BUDGET_SERRE
C-00065;43;7 400 €;Kawasaki Z900;Replica Bol d'Or;Je veux le look d'avant mais la fiabilité de maintenant.;REJET_MANGA
C-00066;21;10 400 €;Yamaha XSR 700;Sportive Vintage;Trop de plastique, pas assez de carénage.;DESIR_90S
C-00067;23;6 700 €;Yamaha XSR 700;Replica Bol d'Or;Interdit de rouler en ville avec ma vieille moto (ZFE).;NOSTALGIE
C-00068;27;6 900 €;Kawasaki Z650;Café Racer Sportif;Les designs 'Manga' vieillissent mal.;BUDGET_SERRE
